거래금액,아파트,월,일,전용면적,층
38,000,이지더원3차,12,18,84.97,2
23,500,이지더원,12,21,59.8832,6
36,000,정관현진에버빌,12,23,84.988,8
31,200,이지더원3차,12,23,65.6536,15
27,000,이지더원3차,12,24,65.6536,3
23,700,정관동일스위트2차,12,24,59.9337,9
41,500,이지더원3차,12,25,84.97,12
35,900,정관동일스위트2차,12,27,84.9864,14
31,000,이지더원,12,27,84.7808,11
34,900,이지더원3차,12,28,74.1653,12
30,000,정관동일스위트2차,12,28,84.9803,7
24,900,정관동일스위트2차,12,29,59.9337,20
33,000,정관동일스위트2차,12,29,84.9864,8
31,500,정관동일스위트2차,12,30,78.5355,2
35,000,정관동일스위트2차,12,30,84.9864,3
26,800,정관동일스위트1차,12,1,59.8245,19
30,150,정관동일스위트1차,12,3,74.258,15
38,500,정관동일스위트1차,12,3,84.8734,10
50,000,정관신도시롯데캐슬,12,3,146.81,1
25,900,정관동일스위트1차,12,4,59.8245,15
22,900,정관양우내안愛,12,7,59.9527,7
42,900,정관이진캐스빌2차,12,9,84.9026,8
42,900,정관이진캐스빌2차,12,9,84.9026,8
24,200,정관양우내안愛,12,11,59.8986,12
23,300,정관양우내안愛,12,14,59.8986,9
23,600,정관양우내안愛,12,15,59.8986,12
25,000,정관양우내안愛,12,17,59.8986,7
61,500,정관신도시한진해모로,12,18,123.4835,9
24,000,정관양우내안愛,12,18,59.9527,3
31,700,정관동일스위트1차,12,20,74.258,16
23,500,정관양우내안愛,12,22,59.8986,1
38,700,정관동일스위트1차,12,23,84.9971,19
34,450,이진캐스빌,12,23,59.8881,6
32,000,이진캐스빌,12,23,59.8881,3
43,000,정관협성르네상스타운,12,28,103.0106,4
46,000,정관신도시계룡리슈빌,12,28,103.41,14
59,700,정관협성르네상스타운,12,29,116.8112,11
36,500,정관이진캐스빌2차,12,29,84.9026,5
42,500,정관신도시롯데캐슬,12,31,101.74,9
30,500,가화일광타워,12,9,59.8654,24
15,792,가화일광타워,12,10,59.8654,30
15,792,가화일광타워,12,10,59.8654,20
15,639,가화일광타워,12,14,59.8905,21
15,792,가화일광타워,12,14,59.8654,11
15,792,가화일광타워,12,15,59.8654,16
15,792,가화일광타워,12,15,59.8654,33
8,000,정도한스빌,12,17,54.562,2
15,639,가화일광타워,12,22,59.8905,23
28,000,가화일광타워,12,28,59.8905,28
27,000,고촌엘에이치3단지아파트,12,30,67.89,5
13,500,부전베스트,1,8,71.64,3
16,700,삼화펠리스힐아파트,1,20,73.8194,9
14,900,대진로얄,1,24,67.92,6
15,700,애경아트빌,1,24,79.925,3
13,500,문화그린맨션,1,10,59.91,5
24,100,경보이리스힐아파트,1,10,69.3133,3
22,800,태영,1,15,84.975,16
17,000,태영,1,18,59.75,3
15,500,태영,1,21,59.75,4
9,700,이진테마빌,1,1,51.2689,1
10,150,이진테마빌,1,10,48.598,1
19,500,노이하우스3차,1,10,84.92,2
14,450,이진테마빌,1,13,59.0604,20
22,000,서부주공,1,24,59.92,8
13,300,이진테마빌,1,25,48.598,11
19,000,대라주공,1,4,39.72,3
15,500,이진캐스빌,1,4,49.2,9
30,000,이진캐스빌골드,1,7,84.5689,16
20,200,이진캐스빌,1,8,59.91,18
15,400,동국에버리치,1,15,63.38,10
14,800,가화랜드빌5차,1,20,59.8027,5
14,800,가화랜드빌5차,1,20,59.8027,5
16,000,대라주공,1,24,39.72,5
20,000,이진캐스빌,1,24,59.91,5
16,300,대라주공,1,24,39.72,2
27,650,센트리움기장,1,25,67.037,11
20,000,이진캐스빌,1,26,59.91,3
20,100,이진캐스빌,1,29,59.91,16
28,500,우신네오빌,1,3,84.9888,9
29,000,우신네오빌,1,3,84.9888,16
26,500,우신네오빌,1,5,84.9888,3
13,000,씨앤스타빌,1,17,49.96,12
22,700,청강주공,1,17,39.69,3
17,000,청강주공,1,21,39.3,5
27,500,우신네오빌,1,21,84.9888,11
40,200,현대,1,27,84.6,1
43,500,현대,1,28,84.6,13
62,500,동부산관광단지삼정그린코아더베스트,1,7,84.9887,1
60,000,동부산관광단지삼정그린코아더베스트,1,9,79.9755,8
45,800,정관가화만사성더테라스1차,1,1,84.9623,4
21,900,가화만사성정관타운,1,5,84.7768,2
26,700,부산정관지구이지더원5차아파트,1,10,68.414,5
26,800,부산정관지구이지더원5차아파트,1,11,68.414,12
26,500,부산정관지구이지더원5차아파트,1,12,68.414,8
32,000,정관가화만사성더테라스1차,1,15,60.1758,4
27,000,부산정관지구이지더원5차아파트,1,21,68.414,7
26,200,부산정관지구이지더원5차아파트,1,27,70.7431,2
31,000,정관가화만사성더테라스1차,1,28,60.1758,2
12,800,두리아,1,29,77.24,2
36,000,정관2차동원로얄듀크,1,4,59.997,19
26,000,정관1차동원로얄듀크,1,13,59.997,11
26,000,정관1차동원로얄듀크,1,15,59.997,13
32,800,정관센트럴파크,1,19,84.93,15
12,000,재흥,1,20,46.895,5
10,750,대우아파트,1,21,49.86,5
24,500,정관센트럴파크,1,21,59.81,12
35,000,두산위브더테라스,1,26,84.974,1
22,000,이지더원,1,3,59.8832,1
32,000,정관동일스위트2차,1,4,84.9803,18
41,000,이지더원3차,1,6,84.97,15
32,000,정관동일스위트2차,1,6,84.9864,13
35,800,정관동일스위트2차,1,7,84.9864,18
24,700,정관동일스위트2차,1,7,59.9337,5
29,750,이지더원,1,8,84.7808,7
23,500,정관동일스위트2차,1,8,59.9856,20
31,700,이지더원,1,11,84.7808,11
34,500,정관현진에버빌,1,11,84.988,12
25,500,정관동일스위트2차,1,13,59.9337,14
25,650,이지더원2차,1,14,59.8935,4
30,400,이지더원,1,14,84.7808,12
28,100,동일스위트3차,1,14,65.9876,16
24,800,정관동일스위트2차,1,15,59.9337,13
27,800,동일스위트3차,1,19,65.9876,13
32,500,이지더원2차,1,22,84.9644,8
27,000,정관동일스위트2차,1,24,59.9337,17
41,700,이지더원3차,1,25,84.97,18
40,000,동일스위트3차,1,26,100.7622,15
60,000,정관협성르네상스타운,1,6,126.2039,5
42,000,정관신도시롯데캐슬,1,7,101.74,13
38,000,정관이진캐스빌2차,1,7,84.9026,7
24,050,정관양우내안愛,1,7,59.9527,12
24,500,정관양우내안愛,1,8,59.8986,5
49,200,정관신동아파밀리에,1,8,138.22,3
38,200,정관동일스위트1차,1,8,84.8734,11
28,200,정관동일스위트1차,1,8,59.8302,10
34,500,이진캐스빌,1,10,59.8881,10
24,300,정관양우내안愛,1,12,59.8986,3
32,000,이진캐스빌,1,14,59.8881,8
49,300,정관신도시계룡리슈빌,1,21,103.41,9
32,800,이진캐스빌,1,22,59.8881,4
35,800,정관신도시롯데캐슬,1,22,84.9,6
23,500,정관양우내안愛,1,24,59.8986,2
23,500,정관양우내안愛,1,24,59.8986,2
52,000,정관신동아파밀리에,1,26,140.11,7
43,500,정관신도시롯데캐슬,1,27,101.74,12
85,000,일광자이푸르지오2단지,1,4,84.9677,24
12,500,노블비치,1,6,22.98,3
59,800,e편한세상일광,1,10,74.9791,4
70,000,e편한세상일광,1,27,84.9868,3
59,500,일광자이푸르지오2단지,1,27,63.8976,6
59,500,일광자이푸르지오2단지,1,27,63.8976,6
75,000,일광자이푸르지오2단지,1,29,84.9677,8
15,792,가화일광타워,1,4,59.8654,12
35,000,가화일광타워,1,12,59.8654,21
15,639,가화일광타워,1,17,59.8905,22
17,700,동부산쏠마레,1,18,49.5896,6
13,500,정도한스빌,1,19,54.562,14
11,000,정도한스빌,1,21,54.562,3
17,000,동부산쏠마레,1,27,49.0658,1
28,500,한신,2,8,84.985,7
29,000,한신,2,8,84.985,4
15,000,서린에코빌아파트,2,10,61.935,6
18,000,이진스카이빌,2,11,59.97,5
11,500,동산그린타워,2,14,58.7,4
19,000,동산그린타워,2,19,83.48,4
14,800,더포인트,2,25,47.0543,8
16,000,부전베스트,2,25,84.75,3
21,900,성신목화,2,5,106.5,11
23,900,리츠빌리지,2,6,84.7444,4
65,000,이진캐스빌블루1차,2,7,115.6401,23
13,000,부전타워,2,8,55.26,15
17,800,문화그린맨션,2,8,84.135,5
16,700,태영,2,8,59.75,8
11,650,가화랜드빌,2,10,52.9649,3
16,200,가화만사성,2,14,53.4307,6
17,000,부전타워,2,17,78.83,12
43,000,이진캐스빌블루1차,2,19,84.9005,7
45,000,이진캐스빌블루1차,2,20,84.922,19
20,000,부전타워,2,21,83.36,14
17,950,태영,2,22,59.75,11
44,500,이진캐스빌블루1차,2,25,84.9005,6
12,300,문화그린맨션,2,26,59.91,12
22,000,서부주공,2,11,59.83,7
20,700,서부주공,2,11,59.92,1
7,800,이진테마빌,2,12,33.6966,3
13,500,이진테마빌,2,14,48.598,8
13,500,이진테마빌,2,14,48.598,8
20,700,서부주공,2,20,59.92,2
16,800,서부주공,2,25,46.2,1
24,900,담덕기장센텀,2,3,72.74,8
24,500,씨엘늘채움,2,3,78.0341,12
15,500,기장마르빌,2,4,69.97,5
23,700,동부산렉슬,2,9,81.65,6
21,500,행복리치빌아파트,2,13,72.2026,4
15,600,이진캐스빌,2,13,49.2,17
13,500,담덕기장센텀,2,14,48.54,9
8,500,수신,2,14,47.18,4
10,000,동우그린빌라가동,2,14,74.345,2
6,500,대라하이츠,2,15,56.7,3
16,700,동양주택,2,17,116.37,8
17,000,에코하임기장,2,19,49.8565,10
8,000,금강로즈맨션,2,21,84.96,6
19,500,이진캐스빌,2,24,59.91,16
5,800,금강로즈,2,25,80.3,6
19,800,이진캐스빌,2,25,59.91,14
33,000,이진캐스빌골드,2,28,84.5689,2
12,000,덕주빌라,2,8,84.69,3
12,000,대동레미안센트럴시티,2,11,45.27,2
21,500,청강주공,2,19,39.3,1
18,100,비룡벨로스텔라,2,19,62.55,8
22,000,청강주공,2,26,39.3,4
21,000,경보그랜드비치,2,14,59.9295,2
36,000,경보그랜드비치,2,17,84.7205,12
26,500,경보그랜드비치,2,17,59.9295,8
36,500,경보그랜드비치,2,27,84.7205,10
29,700,정관가화만사성더테라스1차,2,5,60.1758,3
30,000,정관가화만사성더테라스1차,2,8,60.1758,3
21,000,서희스타힐스,2,9,59.83,13
21,000,서희스타힐스,2,9,59.95,5
30,000,정관가화만사성더테라스2차,2,11,60.1758,4
35,500,정관가화만사성더테라스2차,2,11,60.1758,2
26,650,부산정관지구이지더원5차아파트,2,16,68.414,14
27,000,부산정관지구이지더원5차아파트,2,23,68.414,5
27,000,부산정관지구이지더원5차아파트,2,26,68.414,6
44,000,정관가화만사성더테라스2차,2,26,60.1758,6
17,000,가화만사성정관타운,2,28,59.9193,4
